[1/5] リーダーボード取得: pokemon-tcg-ai-battle 上位200チーム (run_id=20260730T094742Z)
  #1 James Cox & Henry Chao (teamId=16375647, score=1176.9)
  #2 flg (teamId=16380946, score=1174.3)
  #3 Luca (teamId=16448747, score=1174.3)
  #4 LiamK (teamId=16463316, score=1171.6)
  #5 Dries @ Tufa Labs (teamId=16531269, score=1164.2)
  #6 JZ (teamId=16408505, score=1163.7)
  #7 Majkel1337 (teamId=16374395, score=1131.0)
  #8 haggle (teamId=16441077, score=1128.9)
  #9 Raja Biswas (teamId=16452116, score=1125.3)
  #10 李秉叡（ntumlnoob） (teamId=16536318, score=1119.4)
  #11 カントー地方マスター(KantoRegionMaster) (teamId=16375320, score=1115.9)
  #12 A. R. SEKKAT (teamId=16561141, score=1113.6)
  #13 Pokemon Siuuuu (teamId=16372782, score=1113.1)
  #14 insuperabilehart (teamId=16431331, score=1112.9)
  #15 Pokemon Fan (teamId=16505594, score=1108.9)
  #16 ANDPAD kaggler team (teamId=16411029, score=1108.2)
  #17 やる気元気ミワハルキ (teamId=16371703, score=1107.3)
  #18 Yushin Ito (teamId=16381823, score=1106.6)
  #19 Dominic Peel (teamId=16514272, score=1103.5)
  #20 Xiangyu Liu (teamId=16426595, score=1095.9)
  #21 Roy Pidril (teamId=16421840, score=1093.4)
  #22 e-toppo + kurupical (teamId=16371829, score=1092.4)
  #23 SQUIRTLE (prime) (teamId=16407282, score=1088.9)
  #24 Azat Akhtyamov (teamId=16462035, score=1088.6)
  #25 szlachetny snieg (teamId=16376653, score=1086.9)
  #26 213tubo (teamId=16371653, score=1085.7)
  #27 대답해드리는게인지상정 (teamId=16448642, score=1085.1)
  #28 宝糕手 (teamId=16383960, score=1081.5)
  #29 qb (teamId=16454280, score=1080.9)
  #30 Team Rot-Weiß (teamId=16499803, score=1078.4)
  #31 Matheus, Dieter, Eduardo (teamId=16461850, score=1077.3)
  #32 想要成为kaggle大师 (teamId=16438680, score=1077.1)
  #33 Pokopia (teamId=16390101, score=1076.1)
  #34 Rmy (teamId=16425135, score=1075.6)
  #35 miya (teamId=16388364, score=1074.5)
  #36 me and the lads (teamId=16411724, score=1073.1)
  #37 Oshbocker (teamId=16404352, score=1072.9)
  #38 YuPengCao (teamId=16514960, score=1072.0)
  #39 NguyenThanhNhan (teamId=16381904, score=1070.6)
  #40 MtN (teamId=16408528, score=1067.4)
  #41 PP kawada (teamId=16391939, score=1065.5)
  #42 Raihan Ramadistra (teamId=16422241, score=1065.0)
  #43 vibechu (teamId=16382914, score=1063.2)
  #44 junlee789 (teamId=16422150, score=1061.4)
  #45 Iliamna (teamId=16391123, score=1059.2)
  #46 flxwld (teamId=16460880, score=1057.6)
  #47 tedo (teamId=16555095, score=1057.3)
  #48 Hiroki Yamazaki (teamId=16386225, score=1056.8)
  #49 less (teamId=16541765, score=1054.1)
  #50 typeIIIfairy (teamId=16427180, score=1054.1)
  #51 cununn (teamId=16442659, score=1052.5)
  #52 Oleksandr_Savsunenko (teamId=16403994, score=1051.4)
  #53 M Sato (teamId=16385817, score=1049.5)
  #54 Rotation Theory (teamId=16430842, score=1046.9)
  #55 서주영 (teamId=16430670, score=1046.4)
  #56 懒惰的金枪鱼 (teamId=16386246, score=1046.3)
  #57 Tony Li (teamId=16408255, score=1046.0)
  #58 Chua Zheng Wei Brian (teamId=16382034, score=1045.8)
  #59 cm391 (teamId=16372608, score=1044.8)
  #60 LumenLiquidity (teamId=16381624, score=1044.0)
  #61 wwwwwwwwwwwwwwwwwwwwwwwwwwwwww (teamId=16464757, score=1043.9)
  #62 Kusanagi (teamId=16590916, score=1043.1)
  #63 matsurih (teamId=16385250, score=1042.7)
  #64 Where is my orbit (teamId=16454068, score=1042.4)
  #65 Pushu? (teamId=16389043, score=1042.1)
  #66 Lunariz (teamId=16382207, score=1041.5)
  #67 gecogeco (teamId=16406640, score=1039.3)
  #68 Vadim Vasilenko (teamId=16531877, score=1039.3)
  #69 Zhenyu Zhang (teamId=16395176, score=1036.2)
  #70 bono (teamId=16371427, score=1035.2)
  #71 kashiwashira (teamId=16385372, score=1033.9)
  #72 レジギガス大好き (teamId=16372765, score=1033.8)
  #73 NIWATORI (teamId=16446951, score=1033.3)
  #74 Lior Toledano (teamId=16473278, score=1031.9)
  #75 tyt mogla быть vasha reklama (teamId=16553647, score=1031.9)
  #76 zhangshuosc (teamId=16494330, score=1029.0)
  #77 MPGaming (teamId=16376499, score=1028.4)
  #78 Octavi Grau (teamId=16374074, score=1027.9)
  #79 ヌメルゴンex (teamId=16371479, score=1027.8)
  #80 ei ei ei yikuso (teamId=16473179, score=1026.8)
  #81 zhan renyi (teamId=16399480, score=1025.8)
  #82 titako0000 (teamId=16386872, score=1025.4)
  #83 palsystem (teamId=16406979, score=1025.2)
  #84 Roman Nesterov (teamId=16507505, score=1024.1)
  #85 lmaffei (teamId=16487924, score=1021.1)
  #86 six seven (teamId=16373257, score=1020.2)
  #87 hatry (teamId=16531787, score=1019.8)
  #88 syuuuuu (teamId=16377088, score=1017.5)
  #89 Articuno0144 (teamId=16388592, score=1017.3)
  #90 lollipop947 (teamId=16381852, score=1017.3)
  #91 wangyuou (teamId=16454198, score=1017.1)
  #92 Pokér-man (teamId=16371606, score=1016.6)
  #93 hinox13 (teamId=16468429, score=1016.3)
  #94 齐乐 (teamId=16445525, score=1015.5)
  #95 GuerillaMoon (teamId=16602856, score=1015.2)
  #96 ☕ Psyduck Needs Coffee (teamId=16483241, score=1015.2)
  #97 Thai (teamId=16450476, score=1013.6)
  #98 Rostislav (teamId=16530943, score=1013.1)
  #99 beeyan (teamId=16514497, score=1012.1)
  #100 I4Kaggle (teamId=16538741, score=1012.0)
  #101 john jiang zhifeng (teamId=16505814, score=1012.0)
  #102 xnx (teamId=16385225, score=1011.2)
  #103 celebi (teamId=16422615, score=1008.5)
  #104 Abhi (teamId=16394135, score=1008.3)
  #105 Meghana284 (teamId=16574077, score=1006.5)
  #106 Käfersammler Max (teamId=16481642, score=1006.4)
  #107 cocosu3434 (teamId=16395413, score=1006.3)
  #108 Rafael (teamId=16382964, score=1006.2)
  #109 vvs (teamId=16388654, score=1004.0)
  #110 Marshall Maximizer (teamId=16421599, score=1003.4)
  #111 __Taichicchi__ (teamId=16400014, score=1003.1)
  #112 Pokémon Day Care (teamId=16464168, score=1001.8)
  #113 poppy457 (teamId=16388680, score=1001.8)
  #114 goonew (teamId=16372168, score=1001.7)
  #115 Z (teamId=16381145, score=1001.0)
  #116 Orin (teamId=16377894, score=999.2)
  #117 Daikon99 (teamId=16385216, score=999.2)
  #118 WinDecks (teamId=16393241, score=998.9)
  #119 wkonishi (teamId=16379289, score=997.7)
  #120 ktr (teamId=16375635, score=996.9)
  #121 perrodawn (teamId=16375942, score=996.4)
  #122 MTADA (teamId=16445258, score=993.8)
  #123 Karandeep Singh #2 (teamId=16561259, score=993.8)
  #124 porply (teamId=16371476, score=993.3)
  #125 arai9953 (teamId=16379679, score=992.7)
  #126 Kilupy (teamId=16558678, score=992.6)
  #127 Charmander & Meowth (teamId=16603508, score=992.5)
  #128 trainer-1 (teamId=16559688, score=992.4)
  #129 Kazama Yusuke (teamId=16390728, score=992.1)
  #130 🐱KittenLeague🐱 (teamId=16447261, score=991.4)
  #131 saeNeko (teamId=16405655, score=990.4)
  #132 nasuo445 (teamId=16371722, score=990.2)
  #133 Aurora wy (teamId=16532928, score=989.9)
  #134 西松大祐 (teamId=16374469, score=989.1)
  #135 【共逐荣光】Timmy Juicehouse (teamId=16424674, score=988.7)
  #136 youtube.com/@BigBugginnings (teamId=16375066, score=988.2)
  #137 Ghleii (teamId=16462943, score=987.8)
  #138 monnosuke (teamId=16376465, score=987.3)
  #139 Myckel Uribe (teamId=16392733, score=986.4)
  #140 Yudai Ueno (teamId=16418623, score=986.2)
  #141 Ivan Vorfolomeev (teamId=16568723, score=986.0)
  #142 KanaeKanae (teamId=16383493, score=985.8)
  #143 btk15049 (teamId=16371466, score=985.8)
  #144 moya (teamId=16399063, score=984.6)
  #145 Budew (teamId=16371434, score=983.6)
  #146 Bart, Edwyn (teamId=16531497, score=982.9)
  #147 tennogh (teamId=16417006, score=982.6)
  #148 Jose Coronel (teamId=16374614, score=982.1)
  #149 NoOne (teamId=16417358, score=980.4)
  #150 ei1333 (teamId=16372422, score=978.9)
  #151 Ochir Dorzhiev (teamId=16395406, score=978.3)
  #152 Pokésonic (teamId=16372325, score=978.2)
  #153 Phil_Hellmuth (teamId=16383701, score=977.2)
  #154 Asa-sotta  (teamId=16387022, score=977.0)
  #155 NorthStar (teamId=16397982, score=974.3)
  #156 Dipam Chakraborty (teamId=16581741, score=974.3)
  #157 GUOHAOYANG (teamId=16445292, score=973.0)
  #158 nsytsqdtn (teamId=16382190, score=972.6)
  #159 gemelom (teamId=16373076, score=971.8)
  #160 Shardul Gharat (teamId=16371474, score=971.3)
  #161 rmizuta (teamId=16372394, score=971.0)
  #162 Zachary Zhang (teamId=16539421, score=970.8)
  #163 GPT-5.6 Sol🏆 (teamId=16589783, score=970.5)
  #164 H & Z (teamId=16418377, score=970.5)
  #165 EricYang03 (teamId=16531302, score=969.5)
  #166 Kyoungwon Jeong (teamId=16385016, score=969.1)
  #167 AdrianWang2003 (teamId=16450204, score=969.1)
  #168 Boseiju (teamId=16372591, score=968.6)
  #169 kenkoooo @ estie, inc. (teamId=16380112, score=967.9)
  #170 TakahiroHon (teamId=16504778, score=967.5)
  #171 hyonu0620 (teamId=16411511, score=967.4)
  #172 amaotone (teamId=16406057, score=967.1)
